,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Years_Since_Join,Total_Amnt_Spend,No_of_Childrens,Is_Parent,Memebers_In_Family,Total_Purchase,labels
218,3,0,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,70,11,285,1,1,2,19,2
219,2,0,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,44,12,1135,1,1,3,34,2
220,0,0,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,36,10,114,1,1,3,10,2
221,2,1,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,55,11,1047,0,0,2,17,3
222,4,0,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,54,10,714,2,1,4,25,2
223,4,1,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,44,11,185,1,1,3,21,0
224,2,0,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,62,12,1245,1,1,2,38,2
225,2,0,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,46,11,189,1,1,3,20,2
226,2,0,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,48,12,576,1,1,3,24,2
227,2,0,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,72,12,1103,1,1,2,26,2
228,4,1,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,52,12,1753,0,0,2,19,3
229,4,0,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,38,10,17,1,1,3,12,2
230,2,0,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,1,58,11,433,2,1,3,30,2
231,0,0,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,62,11,1588,1,1,2,21,1
232,2,0,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,53,11,22,1,1,3,12,2
233,2,0,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,73,10,19,0,0,1,8,1
234,4,1,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,59,11,1117,1,1,3,34,0
235,0,1,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,49,11,69,1,1,3,14,0
236,3,0,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,42,11,23,1,1,3,12,2
237,4,0,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,66,11,605,1,1,2,22,2
238,2,0,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,51,11,57,1,1,2,18,2
239,0,0,60182.0,23,8,0,5,7,0,2,1,1,0,2,4,0,0,0,0,0,0,131,10,22,1,1,2,8,2
240,2,0,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,56,11,2088,0,0,1,25,1
241,2,0,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,66,12,1009,1,1,3,19,2
242,2,0,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,53,11,26,1,1,2,14,2
243,2,1,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,1,34,11,1627,0,0,2,24,3
244,2,1,61074.0,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,66,12,1102,1,1,3,38,0
245,4,1,31686.0,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,60,10,17,2,1,4,12,0
246,2,1,80134.0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,1,52,11,1690,1,1,3,22,0
247,2,1,75027.0,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,71,11,1390,1,1,3,26,0
248,4,1,67546.0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,36,12,2126,0,0,2,23,3
249,3,0,65176.0,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,55,12,1531,1,1,3,31,1
250,3,0,31160.0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,49,11,64,1,1,2,15,2
251,2,0,29938.0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,39,11,26,1,1,2,12,2
252,2,0,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,50,11,1112,0,0,1,31,1
253,0,0,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,66,12,210,0,0,2,17,1
254,2,0,75702.0,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,57,12,1148,2,1,4,34,2
255,4,0,30899.0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,50,12,33,1,1,2,12,2
256,4,0,63342.0,48,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,63,12,1101,1,1,3,25,2
257,2,0,45989.0,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,60,12,322,1,1,2,19,2
258,2,0,18701.0,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,60,11,44,2,1,3,15,2
259,4,0,40737.0,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,67,11,17,3,1,4,12,2
260,2,0,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,1,45,12,31,1,1,2,13,2
261,4,0,69674.0,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,56,11,845,2,1,3,30,2
262,3,1,44159.0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,54,10,275,1,1,3,20,0
263,4,1,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,46,12,25,1,1,3,13,0
264,3,0,43776.0,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,1,72,11,275,2,1,4,25,2
265,3,1,38179.0,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,58,11,90,2,1,4,18,0
266,2,1,80124.0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,61,10,1495,0,0,2,20,3
267,4,1,38097.0,70,77,2,35,0,1,69,4,3,2,2,7,1,0,0,0,0,1,54,12,184,2,1,4,18,0
268,2,1,72940.0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,54,11,981,0,0,2,14,3
269,2,0,22070.0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,54,11,67,1,1,3,14,2
270,2,0,69267.0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,1,71,12,1635,0,0,1,21,1
271,3,0,31788.0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,0,41,10,60,1,1,2,15,2
272,4,0,61905.0,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,49,10,231,1,1,3,17,2
273,2,1,29315.0,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,64,10,48,2,1,4,16,0
274,2,0,33378.0,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,61,11,99,2,1,3,16,2
275,4,0,66313.0,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,61,11,770,1,1,3,27,2
276,2,0,60714.0,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,1,68,11,957,0,0,1,28,1
277,3,0,77882.0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,43,10,818,0,0,2,13,1
278,4,0,69867.0,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,1,38,11,925,0,0,1,18,1
279,3,0,63841.0,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,56,11,908,1,1,2,28,2
280,1,1,24480.0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,43,11,102,1,1,3,17,0
283,4,0,65640.0,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,50,10,461,1,1,3,17,2
284,3,1,44319.0,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,49,10,37,2,1,4,12,0
285,2,1,30631.0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,50,11,70,1,1,3,14,0
286,2,0,75278.0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,72,11,930,0,0,2,26,1
287,3,0,50898.0,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,68,11,859,2,1,4,38,2
288,2,0,79946.0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,58,10,1478,0,0,1,25,1
289,3,0,35416.0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,75,11,390,0,0,1,24,1
290,0,0,32414.0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,40,11,52,0,0,2,12,1
291,2,0,38361.0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,55,11,137,1,1,3,17,2
292,2,1,82497.0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,44,12,1919,0,0,2,23,3
293,2,0,16626.0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,53,10,68,2,1,4,18,2
294,2,0,29672.0,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,59,11,25,2,1,4,10,2
295,3,0,55951.0,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,72,12,1374,1,1,3,31,2
296,0,0,35388.0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,0,36,11,32,1,1,2,12,2
297,3,0,42386.0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,38,11,100,1,1,3,15,2
298,2,0,68627.0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,42,11,825,0,0,1,13,1
299,4,0,57912.0,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,59,10,916,1,1,2,33,2
300,2,0,35246.0,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,66,10,62,2,1,3,16,2
301,0,0,58821.0,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,68,11,728,1,1,3,27,2
302,4,1,46377.0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,0,0,0,0,46,10,90,1,1,3,11,0
303,2,0,39747.0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,36,10,273,1,1,2,21,2
304,2,0,23976.0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,40,11,66,1,1,3,17,2
305,3,1,80950.0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,63,11,1213,0,0,2,25,3
306,2,0,27038.0,64,1,26,25,17,23,15,1,3,0,3,9,0,0,0,0,0,1,58,12,107,0,0,1,16,1
307,2,0,77457.0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,77,10,1157,0,0,1,19,1
308,3,1,64100.0,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,60,11,546,1,1,3,25,0
309,3,0,42670.0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,32,11,241,0,0,2,15,1
310,2,0,12571.0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,48,10,53,1,1,2,17,2
311,2,1,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,57,11,37,3,1,5,14,0
312,2,1,52357.791543756146,69,861,138,461,60,30,61,1,6,5,12,3,0,1,0,1,0,0,35,11,1611,0,0,2,27,3
313,3,0,70893.0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,48,11,1508,0,0,1,26,1
314,2,1,54198.0,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,58,11,235,2,1,4,20,0
315,3,0,28839.0,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,68,10,32,2,1,4,12,2
316,2,1,40321.0,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,52,11,102,2,1,4,15,0
317,2,0,66503.0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,39,12,401,1,1,2,18,2
318,2,1,30833.0,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,73,11,28,2,1,4,11,0
319,2,0,52357.791543756146,67,738,20,172,52,50,20,6,2,3,10,7,0,1,0,1,0,0,54,11,1052,3,1,4,28,2
320,2,1,64795.0,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,53,11,680,1,1,3,23,0
321,2,1,34421.0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,50,11,30,1,1,3,11,0
322,4,0,47025.0,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,59,10,20,2,1,3,11,2
323,4,0,64325.0,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,63,11,1307,1,1,2,30,2
324,2,0,40464.0,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,71,11,630,1,1,2,32,2
325,2,1,62187.0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,67,11,1283,0,0,2,21,3
326,4,0,14849.0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,48,11,65,1,1,2,17,2
327,2,1,27255.0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,40,11,37,1,1,3,12,0
328,4,1,54432.0,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,74,11,38,3,1,5,9,0
329,4,0,29999.0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,38,11,160,1,1,2,20,2
330,2,0,24072.0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,41,11,23,1,1,2,12,2
331,4,0,33996.0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,35,11,71,0,0,1,10,1
332,4,1,66334.0,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,1,68,11,1161,1,1,3,24,0
333,3,1,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,1,53,11,59,1,1,3,12,0
334,2,0,22010.0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,41,11,33,1,1,3,15,2
335,2,0,62204.0,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,64,12,946,2,1,3,25,2
336,2,0,75693.0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,1,56,12,1442,0,0,1,26,1
337,2,1,30675.0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,52,12,62,1,1,3,13,0
338,2,0,83003.0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,1,59,11,1674,0,0,2,25,1
339,4,0,83532.0,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,125,11,1853,0,0,2,16,1
340,2,0,68655.0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,36,12,1538,0,0,1,24,1
341,2,0,41411.0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,38,11,139,0,0,1,14,1
342,4,1,55212.0,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,55,12,1182,1,1,3,28,0
343,4,0,59292.0,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,74,11,507,1,1,3,21,2
344,1,0,27190.0,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,1,51,11,18,1,1,3,12,2
345,2,0,82623.0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,72,11,940,0,0,1,17,1
346,2,1,44300.0,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,59,11,42,2,1,4,12,0
347,2,0,84835.0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,54,10,1190,0,0,1,16,1
348,2,0,30372.0,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,53,12,44,2,1,3,15,2
349,3,1,33181.0,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,48,10,16,1,1,3,10,0
350,2,1,71113.0,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,67,11,835,1,1,3,30,0
351,2,1,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,38,11,1443,1,1,3,26,0
352,4,0,69759.0,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,1,58,11,1029,0,0,1,21,1
353,2,1,72099.0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,50,12,1188,0,0,2,19,3
354,4,0,60000.0,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,48,12,1277,1,1,2,30,2
355,2,0,38643.0,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,0,46,11,49,2,1,3,14,2
356,2,1,50737.0,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,69,11,99,1,1,3,13,0
357,4,1,68462.0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,55,12,1670,0,0,2,16,3
358,3,1,65073.0,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,0,81,11,900,0,0,2,16,3
359,4,0,46681.0,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,76,11,425,2,1,4,21,2
360,2,1,78618.0,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,67,12,2153,0,0,2,24,3
361,4,0,62187.0,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,55,10,636,1,1,2,25,2
362,2,1,28442.0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,46,10,57,2,1,4,14,0
364,2,1,51479.0,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,57,12,494,2,1,4,29,0
365,2,0,54803.0,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,55,12,693,1,1,2,23,2
366,2,1,79530.0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,64,11,1348,0,0,2,28,3
367,2,0,31615.0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,48,11,51,1,1,2,14,2
368,2,0,72025.0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,62,12,1932,0,0,2,19,1
369,4,0,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,49,12,990,1,1,2,24,2
370,0,1,35684.0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,40,10,30,1,1,3,11,0
371,2,1,48178.0,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,49,12,254,2,1,4,24,0
372,3,0,29548.0,52,7,1,6,3,1,11,1,1,1,2,4,1,0,0,0,0,0,54,11,29,1,1,2,9,2
373,2,0,63810.0,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,58,12,1371,1,1,2,31,2
374,4,0,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,52,11,73,2,1,3,17,2
375,3,0,46098.0,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,49,12,120,2,1,3,19,2
376,2,0,22585.0,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,1,54,11,81,0,0,1,14,1
377,2,0,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,35,12,37,1,1,2,13,2
378,4,0,66426.0,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,63,11,1377,1,1,3,26,2
379,2,0,30822.0,92,3,9,13,2,12,12,1,1,0,3,7,0,0,0,0,0,0,55,11,51,1,1,2,12,2
380,4,1,33581.0,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,55,11,17,2,1,4,12,0
381,2,1,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,39,11,22,1,1,3,11,0
382,2,0,27421.0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,70,12,324,0,0,1,21,1
384,3,0,36143.0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,43,10,19,1,1,2,7,2
385,2,0,10245.0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,53,11,41,1,1,2,13,2
386,3,0,43795.0,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,1,56,11,492,1,1,3,24,2
387,2,0,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,64,12,1005,1,1,3,28,2
388,2,0,38823.0,56,70,0,11,2,8,23,1,2,1,3,6,0,0,0,0,0,0,75,12,114,1,1,3,13,2
389,4,0,83664.0,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,56,11,1173,2,1,3,24,2
390,2,0,90300.0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,45,10,1738,0,0,2,20,1
391,3,0,62499.0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,45,11,222,1,1,3,16,2
392,2,0,74293.0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,31,10,1127,0,0,1,18,1
393,4,1,51012.0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,78,11,209,0,0,2,16,3
394,3,1,70777.0,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,56,10,787,1,1,3,26,0
395,4,0,68682.0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,33,11,1598,0,0,2,26,1
396,2,1,43824.0,18,96,1,42,12,3,32,4,3,1,4,8,0,0,0,0,0,0,53,12,186,2,1,4,20,0
397,2,0,15345.0,51,5,2,16,3,2,19,2,1,1,2,8,0,0,0,0,0,1,40,12,47,1,1,3,14,2
398,2,0,23442.0,71,2,0,6,8,6,5,1,1,0,3,7,0,0,0,0,0,0,37,12,27,1,1,2,12,2
399,0,0,14515.0,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,1,44,12,96,1,1,3,18,2
400,0,0,31395.0,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,68,11,64,2,1,3,16,2
401,2,0,75276.0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,59,12,1040,0,0,2,28,1
402,2,0,42373.0,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,50,11,163,2,1,3,18,2
403,2,0,30507.0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,64,11,343,0,0,2,18,1
404,4,0,55521.0,11,416,0,26,0,0,4,9,6,3,6,7,0,1,0,0,0,1,69,11,446,3,1,4,31,2
405,2,1,48006.0,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,59,10,41,2,1,4,11,0
406,4,0,27213.0,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,1,52,12,70,1,1,2,17,2
407,4,0,65808.0,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,53,10,272,2,1,3,20,2
408,4,0,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,50,11,46,1,1,3,15,2
409,2,1,50437.0,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,61,12,490,2,1,4,26,0
410,0,0,23616.0,76,4,22,11,3,7,32,2,3,0,3,8,0,0,0,0,0,1,42,12,79,1,1,2,16,2
411,2,1,53858.0,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,48,12,915,1,1,3,21,0
412,4,1,66465.0,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,69,11,1485,1,1,3,41,3
413,2,0,46923.0,90,85,44,54,102,78,6,3,5,1,7,7,0,0,0,0,0,0,37,12,369,1,1,2,23,2
414,2,0,75072.0,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,62,11,1073,1,1,3,22,2
415,4,1,75865.0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,81,10,1242,0,0,2,20,3
416,0,0,19789.0,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,49,11,78,1,1,3,14,2
417,2,0,80134.0,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,30,10,1378,0,0,2,26,1
418,2,0,91065.0,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,1,43,11,1474,0,0,1,29,1
419,3,1,49505.0,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,53,11,751,2,1,4,37,0
420,4,1,37401.0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,51,10,48,1,1,3,14,0
422,3,0,18492.0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,42,10,10,1,1,3,12,2
423,3,1,82584.0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,1,50,11,1435,0,0,2,17,3
424,4,1,93027.0,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,1,0,0,0,83,11,2119,0,0,2,24,3
425,2,1,48686.0,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,71,11,20,3,1,5,12,0
426,2,1,92910.0,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,38,10,1795,0,0,2,28,3
427,2,1,75433.0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,35,10,1188,1,1,3,25,0
428,0,0,10404.0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,35,10,43,1,1,3,12,2
429,2,1,61314.0,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,56,11,1008,1,1,3,27,0
430,4,0,84865.0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,63,11,1688,0,0,1,20,1
431,2,1,42387.0,42,235,0,235,19,4,191,5,8,1,7,8,0,0,0,0,0,0,35,12,684,1,1,3,29,0
432,0,0,67309.0,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,57,11,1082,2,1,4,46,2
433,2,1,75236.0,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,60,11,1068,1,1,3,29,0
434,2,0,30015.0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,54,10,57,1,1,2,12,2
435,3,0,50943.0,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,68,11,46,1,1,3,10,2
436,2,0,67272.0,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,58,11,733,1,1,2,28,2
437,3,0,51529.0,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,75,11,467,1,1,2,25,2
438,4,1,32011.0,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,53,11,122,1,1,3,17,0
439,0,1,7500.0,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,38,11,36,1,1,3,15,0
